Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
03:02:44.424,0x201,1233,164,-230,-13
03:02:44.446,0x101,1,592,56,16780
03:02:44.447,0x201,1232,133,-241,14
03:02:44.469,0x101,1,628,-4,16688
03:02:44.472,0x201,1232,133,-221,-2
03:02:44.492,0x101,1,564,-88,16656
03:02:44.493,0x201,1232,145,-227,-9
03:02:44.516,0x101,0,516,-136,16784
03:02:44.518,0x201,1233,121,-234,-23
03:02:44.540,0x101,0,644,-92,16636
03:02:44.541,0x201,1233,150,-224,-26
03:02:44.561,0x101,0,596,-56,16600
03:02:44.563,0x201,1232,132,-226,0
03:02:44.585,0x101,0,600,-124,16612
03:02:44.592,0x201,1232,133,-234,-3
03:02:44.616,0x101,0,640,-100,16836
03:02:44.617,0x201,1232,139,-246,7
03:02:44.636,0x101,0,576,-144,16688
03:02:44.639,0x201,1233,128,-240,-1
03:02:44.658,0x101,0,652,-100,16756
03:02:44.660,0x201,1233,108,-254,3
03:02:44.681,0x101,1,608,-36,16760
03:02:44.682,0x201,1233,126,-250,-5
03:02:44.704,0x101,0,564,-52,16672
03:02:44.705,0x201,1233,113,-223,-11
03:02:44.727,0x101,1,628,-72,16728
03:02:44.728,0x201,1233,119,-235,-2
03:02:44.750,0x101,0,572,20,16872
03:02:44.751,0x201,1232,123,-230,11
03:02:44.782,0x101,0,592,40,16804
03:02:44.788,0x201,1232,110,-228,-25
03:02:44.804,0x101,0,560,-52,16748
03:02:44.809,0x201,1232,145,-218,0
03:02:44.819,0x101,0,600,-64,16636
03:02:44.820,0x201,1232,147,-225,-25
03:02:44.843,0x101,1,592,-96,16696
03:02:44.843,0x201,1233,148,-222,9
03:02:44.870,0x101,0,528,-96,16812
03:02:44.877,0x201,1232,123,-248,-13
03:02:44.889,0x101,1,524,-68,16684
03:02:44.892,0x201,1232,124,-227,-10
03:02:44.913,0x101,0,552,-120,16704
03:02:44.920,0x201,1232,133,-223,-8
03:02:44.936,0x101,0,600,-188,16748
03:02:44.937,0x201,1233,122,-227,-9
03:02:44.957,0x101,1,596,-100,16844
03:02:44.958,0x201,1233,125,-239,0
03:02:44.980,0x101,0,588,-76,16728
03:02:44.981,0x201,1232,123,-214,-21
03:02:45.005,0x101,0,612,-100,16788
03:02:45.009,0x201,1232,119,-208,-4
03:02:45.027,0x101,1,692,-112,16804
03:02:45.029,0x201,1232,151,-229,10
03:02:45.050,0x101,0,612,-72,16812
03:02:45.052,0x201,1233,138,-250,-20
03:02:45.073,0x101,1,644,-80,16748
03:02:45.076,0x201,1232,127,-239,12
03:02:45.096,0x101,1,544,-160,16792
03:02:45.099,0x201,1233,138,-223,-1
03:02:45.120,0x101,0,564,-112,16788
03:02:45.128,0x201,1232,156,-228,2
03:02:45.146,0x101,0,668,56,16756
03:02:45.146,0x201,1233,156,-206,-20
03:02:45.164,0x101,0,608,-280,16732
03:02:45.165,0x201,1232,138,-218,-25
03:02:45.187,0x101,0,588,-52,16640
03:02:45.188,0x201,1232,123,-200,4
03:02:45.210,0x101,0,584,-172,16808
03:02:45.212,0x201,1232,133,-212,-19
03:02:45.234,0x101,1,576,-32,16804
03:02:45.235,0x201,1232,140,-232,-23
03:02:45.256,0x101,0,644,-36,16596
03:02:45.261,0x201,1233,152,-256,-12
03:02:45.280,0x101,1,472,-112,16732
03:02:45.282,0x201,1232,139,-230,-11
03:02:45.303,0x101,1,588,-100,16788
03:02:45.304,0x201,1232,145,-247,-6
03:02:45.325,0x101,0,492,-84,16600
03:02:45.326,0x201,1232,132,-215,-22
03:02:45.349,0x101,1,708,-188,16780
03:02:45.349,0x201,1217,137,-226,-29
03:02:45.372,0x101,0,620,-156,16644
03:02:45.373,0x201,1233,167,-228,18
03:02:45.399,0x101,1,576,-76,16732
03:02:45.404,0x201,1232,110,-222,-9
03:02:45.417,0x101,1,596,-44,16692
03:02:45.420,0x201,1232,121,-218,0
03:02:45.440,0x101,0,588,-188,16820
03:02:45.441,0x201,1232,127,-217,-8
03:02:45.463,0x101,0,596,-148,16616
03:02:45.467,0x201,1232,147,-257,-2
03:02:45.486,0x101,1,564,-84,16780
03:02:45.487,0x201,1233,145,-224,5
03:02:45.511,0x101,0,572,-56,16672
03:02:45.512,0x201,1233,147,-235,-1
03:02:45.533,0x101,1,592,-220,16768
03:02:45.534,0x201,1232,126,-236,-8
03:02:45.555,0x101,0,480,-64,16780
03:02:45.557,0x201,1232,169,-215,8
03:02:45.580,0x101,1,540,-160,16608
03:02:45.580,0x201,1233,136,-255,-23
03:02:45.603,0x101,0,720,-28,16800
03:02:45.605,0x201,1233,129,-201,-8
03:02:45.625,0x101,1,648,-52,16856
03:02:45.628,0x201,1232,151,-210,-12
03:02:45.648,0x101,0,600,8,16800
03:02:45.649,0x201,1232,120,-231,-20
03:02:45.671,0x101,0,640,-200,16628
03:02:45.672,0x201,1233,141,-207,-6
03:02:45.694,0x101,1,548,-124,16712
03:02:45.700,0x201,1232,145,-223,-15
03:02:45.716,0x101,1,636,-144,16812
03:02:45.717,0x201,1233,126,-237,-15
03:02:45.739,0x101,1,608,-84,16824
03:02:45.740,0x201,1232,156,-206,-21
03:02:45.763,0x101,0,556,-224,16776
03:02:45.767,0x201,1232,138,-229,-18
03:02:45.785,0x101,1,548,-60,16692
03:02:45.785,0x201,1232,137,-235,-14
03:02:45.811,0x101,0,596,-88,16616
03:02:45.812,0x201,1232,139,-221,-11
03:02:45.832,0x101,1,612,-40,16824
03:02:45.835,0x201,1233,124,-240,4
03:02:45.854,0x101,1,456,-24,16676
03:02:45.855,0x201,1233,136,-237,-12
03:02:45.880,0x101,0,636,-148,16736
03:02:45.881,0x201,1233,127,-217,0
03:02:45.902,0x101,1,700,-56,16852
03:02:45.907,0x201,1232,126,-198,2
03:02:45.924,0x101,1,600,-64,16596
03:02:45.927,0x201,1232,121,-207,-16
03:02:45.948,0x101,1,604,-160,16676
03:02:45.949,0x201,1232,131,-224,-13
03:02:45.969,0x101,1,648,-92,16764
03:02:45.972,0x201,1232,125,-229,-15
03:02:45.992,0x101,1,632,-232,16656
03:02:45.993,0x201,1233,124,-231,-3
03:02:46.015,0x101,1,572,-148,16672
03:02:46.016,0x201,1233,156,-228,0
03:02:46.039,0x101,1,620,-48,16680
03:02:46.040,0x201,1233,144,-194,9
03:02:46.061,0x101,0,580,-240,16632
03:02:46.062,0x201,1233,131,-218,-38
03:02:46.085,0x101,1,640,-200,16712
03:02:46.086,0x201,1233,126,-239,-6
03:02:46.108,0x101,0,696,-172,16532
03:02:46.110,0x201,1233,156,-218,8
03:02:46.131,0x101,0,744,-188,16668
03:02:46.134,0x201,1233,157,-216,-24
03:02:46.156,0x101,0,600,-68,16732
03:02:46.160,0x201,1232,152,-224,7
03:02:46.176,0x101,0,560,-88,16604
03:02:46.179,0x201,1232,117,-230,4
03:02:46.203,0x101,0,576,-180,16692
03:02:46.205,0x201,1232,156,-219,-15
03:02:46.222,0x101,1,632,-104,16520
03:02:46.223,0x201,1232,131,-200,9
03:02:46.247,0x101,0,684,-200,16600
03:02:46.249,0x201,1233,161,-205,-1
03:02:46.268,0x101,0,632,-128,16628
03:02:46.269,0x201,1232,154,-235,-2
03:02:46.291,0x101,0,596,-8,16636
03:02:46.292,0x201,1232,140,-230,-4
03:02:46.315,0x101,0,660,-72,16644
03:02:46.319,0x201,1233,125,-199,-1
03:02:46.337,0x101,0,668,-140,16600
03:02:46.338,0x201,1233,157,-218,-8
03:02:46.364,0x101,0,516,-48,16664
03:02:46.365,0x201,1232,144,-222,-13
03:02:46.384,0x101,1,636,-88,16516
03:02:46.388,0x201,1232,138,-184,-9
03:02:46.406,0x101,0,584,-76,16684
03:02:46.407,0x201,1233,146,-256,-12
03:02:46.433,0x101,0,588,-20,16792
03:02:46.435,0x201,1233,147,-210,-9
03:02:46.453,0x101,0,688,-72,16612
03:02:46.453,0x201,1233,153,-182,-23
03:02:46.476,0x101,1,560,-84,16708
03:02:46.477,0x201,1232,139,-233,13
03:02:46.499,0x101,0,576,-164,16656
03:02:46.500,0x201,1233,140,-212,-7
03:02:46.521,0x101,1,552,-88,16640
03:02:46.522,0x201,1232,144,-226,13
03:02:46.547,0x101,1,604,-104,16540
03:02:46.548,0x201,1232,123,-209,-25
03:02:46.568,0x101,1,556,-124,16704
03:02:46.572,0x201,1233,129,-226,6
03:02:46.593,0x101,1,612,-156,16636
03:02:46.594,0x201,1232,161,-223,-5
03:02:46.619,0x101,1,496,-116,16636
03:02:46.623,0x201,1233,131,-224,-5
03:02:46.641,0x101,1,616,-12,16736
03:02:46.642,0x201,1233,138,-238,-16
03:02:46.665,0x101,0,640,-48,16644
03:02:46.673,0x201,1232,148,-222,23
03:02:46.687,0x101,0,524,-104,16760
03:02:46.688,0x201,1233,156,-223,-15
03:02:46.711,0x101,0,584,-24,16744
03:02:46.716,0x201,1232,132,-232,-2
03:02:46.734,0x101,0,584,-80,16624
03:02:46.734,0x201,1233,137,-226,-11
03:02:46.757,0x101,0,500,-108,16808
03:02:46.760,0x201,1233,143,-229,-5
03:02:46.779,0x101,1,552,-164,16796
03:02:46.784,0x201,1233,130,-256,7
03:02:46.802,0x101,1,572,-80,16624
03:02:46.805,0x201,1233,154,-228,-10
03:02:46.826,0x101,0,600,-36,16660
03:02:46.829,0x201,1233,127,-223,-22
03:02:46.848,0x101,1,544,-124,16948
03:02:46.853,0x201,1233,150,-247,-2
03:02:46.872,0x101,1,576,-108,16652
03:02:46.874,0x201,1232,136,-256,-10
03:02:46.894,0x101,0,484,-184,16824
03:02:46.898,0x201,1232,149,-252,1
03:02:46.918,0x101,1,516,-228,16724
03:02:46.921,0x201,1233,130,-228,-25
03:02:46.948,0x101,0,524,-184,16692
03:02:46.948,0x201,1232,141,-245,8
03:02:46.963,0x101,0,704,-144,16752
03:02:46.964,0x201,1233,132,-239,-12
03:02:46.986,0x101,0,676,-136,16688
03:02:46.987,0x201,1232,142,-204,-24
03:02:47.009,0x101,0,580,-176,16788
03:02:47.010,0x201,1232,133,-242,9
03:02:47.032,0x101,1,544,-112,16876
03:02:47.033,0x201,1232,157,-235,6
03:02:47.056,0x101,1,636,-160,16816
03:02:47.057,0x201,1233,126,-237,-17
03:02:47.079,0x101,1,600,0,16748
03:02:47.081,0x201,1233,130,-238,-11
03:02:47.102,0x101,0,632,-116,16800
03:02:47.102,0x201,1232,114,-234,-4
03:02:47.124,0x101,1,580,-112,16704
03:02:47.125,0x201,1232,122,-212,0
03:02:47.148,0x101,1,624,-136,16872
03:02:47.149,0x201,1233,117,-243,-10
03:02:47.171,0x101,1,540,-40,16760
03:02:47.171,0x201,1232,136,-222,-4
03:02:47.196,0x101,0,540,-40,16804
03:02:47.198,0x201,1233,124,-228,-22
03:02:47.217,0x101,0,516,-56,16716
03:02:47.219,0x201,1232,126,-211,-8
03:02:47.242,0x101,0,600,-16,16740
03:02:47.248,0x201,1232,131,-212,-27
03:02:47.263,0x101,1,544,-136,16776
03:02:47.270,0x201,1232,127,-224,9
03:02:47.286,0x101,0,560,-72,16636
03:02:47.290,0x201,1233,138,-233,-39
03:02:47.308,0x101,0,536,-48,16756
03:02:47.309,0x201,1232,138,-248,-16
03:02:47.331,0x101,1,560,-60,16784
03:02:47.332,0x201,1232,147,-233,-24
03:02:47.355,0x101,1,556,-96,16780
03:02:47.355,0x201,1232,138,-225,-23
03:02:47.377,0x101,1,612,-96,16828
03:02:47.380,0x201,1233,126,-212,-24
03:02:47.403,0x101,0,672,-40,16700
03:02:47.405,0x201,1232,148,-223,13
03:02:47.424,0x101,1,544,-52,16740
03:02:47.424,0x201,1233,173,-240,19
03:02:47.447,0x101,0,704,-144,16764
03:02:47.451,0x201,1233,115,-224,-12
03:02:47.470,0x101,0,680,12,16696
03:02:47.472,0x201,1232,105,-230,-1
03:02:47.492,0x101,0,624,-104,16708
03:02:47.495,0x201,1232,130,-227,-33
03:02:47.515,0x101,1,616,-116,16680
03:02:47.516,0x201,1233,145,-230,-29
03:02:47.539,0x101,1,628,-200,16776
03:02:47.541,0x201,1232,145,-225,-9
03:02:47.561,0x101,1,628,-120,16864
03:02:47.562,0x201,1233,134,-214,-26
03:02:47.585,0x101,1,572,-84,16776
03:02:47.588,0x201,1232,138,-191,-31
03:02:47.607,0x101,1,604,-60,16804
03:02:47.610,0x201,1233,138,-217,-20
03:02:47.631,0x101,0,588,-108,16660
