Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
03:02:53.631,0x101,2144,8,-444,16288
03:02:53.631,0x201,1537,127,-232,-8
03:02:53.650,0x101,2144,-36,-472,16284
03:02:53.652,0x201,1536,147,-212,-14
03:02:53.673,0x101,2144,-40,-496,16188
03:02:53.673,0x201,1536,140,-224,-20
03:02:53.696,0x101,2144,32,-424,16356
03:02:53.696,0x201,1537,137,-231,1
03:02:53.719,0x101,2145,-56,-396,16228
03:02:53.719,0x201,1537,142,-219,2
03:02:53.742,0x101,2144,-64,-416,16380
03:02:53.743,0x201,1536,138,-206,7
03:02:53.765,0x101,2144,-4,-440,16328
03:02:53.767,0x201,1537,131,-226,-11
03:02:53.788,0x101,2144,-92,-532,16368
03:02:53.789,0x201,1536,144,-231,1
03:02:53.812,0x101,2145,-72,-392,16292
03:02:53.812,0x201,1537,119,-229,-10
03:02:53.836,0x101,2145,36,-504,16264
03:02:53.837,0x201,1537,132,-215,13
03:02:53.857,0x101,2145,-4,-416,16304
03:02:53.861,0x201,1536,128,-230,-6
03:02:53.882,0x101,2145,-40,-468,16336
03:02:53.883,0x201,1537,146,-222,-4
03:02:53.904,0x101,2145,-52,-452,16236
03:02:53.905,0x201,1536,127,-223,-12
03:02:53.927,0x101,2145,-40,-324,16204
03:02:53.930,0x201,1536,155,-251,0
03:02:53.949,0x101,2145,48,-440,16208
03:02:53.950,0x201,1536,133,-223,-13
03:02:53.982,0x101,2145,24,-360,16260
03:02:53.983,0x201,1537,152,-236,-4
03:02:53.995,0x101,2145,24,-404,16340
03:02:53.996,0x201,1536,125,-237,7
03:02:54.018,0x101,2145,12,-504,16212
03:02:54.022,0x201,1536,127,-207,-13
03:02:54.041,0x101,2145,-40,-468,16304
03:02:54.042,0x201,1537,137,-213,-2
03:02:54.064,0x101,2144,-64,-560,16112
03:02:54.066,0x201,1537,136,-202,4
03:02:54.088,0x101,2145,48,-432,16380
03:02:54.090,0x201,1537,142,-220,3
03:02:54.110,0x101,2144,-36,-432,16300
03:02:54.113,0x201,1536,130,-216,-4
03:02:54.134,0x101,2144,-16,-336,16316
03:02:54.135,0x201,1537,145,-236,9
03:02:54.156,0x101,2145,-36,-432,16196
03:02:54.158,0x201,1537,160,-231,4
03:02:54.179,0x101,2145,-12,-396,16348
03:02:54.180,0x201,1537,147,-203,22
03:02:54.202,0x101,2145,76,-420,16276
03:02:54.203,0x201,1536,118,-199,-23
03:02:54.226,0x101,2144,20,-400,16184
03:02:54.229,0x201,1536,149,-207,11
03:02:54.248,0x101,2145,-72,-464,16288
03:02:54.248,0x201,1536,137,-216,-16
03:02:54.271,0x101,2145,-44,-336,16328
03:02:54.272,0x201,1537,144,-193,-7
03:02:54.294,0x101,2144,144,-420,16288
03:02:54.296,0x201,1536,136,-231,10
03:02:54.317,0x101,2144,64,-420,16296
03:02:54.317,0x201,1537,166,-194,0
03:02:54.342,0x101,2144,32,-508,16224
03:02:54.342,0x201,1536,122,-247,-11
03:02:54.363,0x101,2145,-28,-440,16492
03:02:54.364,0x201,1537,127,-226,-15
03:02:54.386,0x101,2145,56,-352,16192
03:02:54.386,0x201,1536,152,-224,-10
03:02:54.409,0x101,2145,-24,-484,16324
