Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
12:05:08.140,0x101,2625,-2988,-2424,15856
12:05:08.140,0x201,2449,180,-228,-16
12:05:08.163,0x101,2640,-3304,-2336,15680
12:05:08.163,0x201,2448,195,-221,-17
12:05:08.186,0x101,2625,-3440,-2500,15860
12:05:08.187,0x201,2449,176,-205,-16
12:05:08.209,0x101,2624,-3304,-2528,15884
12:05:08.210,0x201,2449,204,-212,-17
12:05:08.233,0x101,2624,-3284,-2528,15868
12:05:08.234,0x201,2464,173,-214,-26
12:05:08.255,0x101,2624,-3164,-2356,15848
12:05:08.256,0x201,2433,184,-222,-9
12:05:08.278,0x101,2624,-3276,-2480,15820
12:05:08.279,0x201,2449,178,-191,-22
12:05:08.301,0x101,2624,-3312,-2436,15828
12:05:08.302,0x201,2449,177,-223,-19
12:05:08.324,0x101,2624,-3040,-2480,15856
12:05:08.325,0x201,2448,181,-243,-11
12:05:08.347,0x101,2625,-3228,-2320,15848
12:05:08.347,0x201,2449,180,-220,-15
12:05:08.370,0x101,2624,-3264,-2496,15656
12:05:08.371,0x201,2449,163,-224,-1
12:05:08.393,0x101,2640,-3284,-2392,15880
12:05:08.394,0x201,2448,185,-198,-2
12:05:08.416,0x101,2625,-3396,-2472,15772
12:05:08.418,0x201,2449,171,-228,-11
12:05:08.439,0x101,2624,-3292,-2392,15652
12:05:08.440,0x201,2448,203,-240,-26
12:05:08.462,0x101,2625,-3080,-2424,15884
12:05:08.463,0x201,2448,163,-219,-2
12:05:08.485,0x101,2625,-3368,-2352,15656
12:05:08.486,0x201,2449,182,-212,-12
12:05:08.508,0x101,2625,-3276,-2440,15664
12:05:08.509,0x201,2400,172,-227,-11
12:05:08.531,0x101,2625,-3256,-2520,15652
12:05:08.532,0x201,2448,194,-231,-8
12:05:08.554,0x101,2624,-3148,-2492,15828
12:05:08.555,0x201,2449,174,-239,-14
12:05:08.577,0x101,2624,-3316,-2352,15776
12:05:08.580,0x201,2449,195,-207,-8
12:05:08.600,0x101,2625,-3144,-2468,15796
12:05:08.601,0x201,2448,190,-230,-9
12:05:08.623,0x101,2624,-3304,-2392,15632
12:05:08.624,0x201,2449,186,-212,2
12:05:08.646,0x101,2625,-3208,-2380,15908
12:05:08.647,0x201,2449,176,-234,-17
12:05:08.669,0x101,2624,-3300,-2556,15872
12:05:08.670,0x201,2449,171,-219,-10
12:05:08.692,0x101,2625,-3364,-2516,15740
12:05:08.693,0x201,2449,172,-228,-14
12:05:08.715,0x101,2624,-3156,-2416,15748
12:05:08.716,0x201,2448,194,-217,-29
12:05:08.738,0x101,2625,-3204,-2428,15812
12:05:08.739,0x201,2448,164,-212,-10
12:05:08.762,0x101,2625,-3220,-2576,15920
12:05:08.763,0x201,2449,174,-219,-11
12:05:08.784,0x101,2625,-3212,-2268,15732
12:05:08.785,0x201,2449,178,-223,-18
12:05:08.808,0x101,2625,-3320,-2692,15804
12:05:08.808,0x201,2449,178,-228,-22
12:05:08.830,0x101,2625,-3256,-2424,15772
12:05:08.831,0x201,2448,194,-213,-35
12:05:08.853,0x101,2624,-3100,-2640,15556
12:05:08.854,0x201,2449,196,-210,-10
12:05:08.876,0x101,2625,-3336,-2500,15840
12:05:08.877,0x201,2448,163,-201,-2
12:05:08.900,0x101,2624,-3340,-2468,15676
12:05:08.900,0x201,2448,205,-232,-31
12:05:08.927,0x101,2625,-3404,-2524,15748
12:05:08.928,0x201,2448,161,-197,-26
12:05:08.950,0x101,2625,-3064,-2432,15660
12:05:08.951,0x201,2449,196,-241,1
12:05:08.973,0x101,2625,-3192,-2508,15908
12:05:08.974,0x201,2417,193,-222,-25
12:05:08.996,0x101,2625,-3356,-2516,15800
12:05:08.997,0x201,2449,193,-214,2
12:05:09.019,0x101,2608,-3364,-2560,15756
12:05:09.020,0x201,2449,149,-195,-20
12:05:09.042,0x101,2624,-3344,-2476,15776
12:05:09.043,0x201,2448,168,-237,-31
12:05:09.065,0x101,2625,-3096,-2496,15692
12:05:09.066,0x201,2448,172,-248,-19
12:05:09.089,0x101,2625,-3276,-2460,15648
12:05:09.089,0x201,2448,194,-224,4
