Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
22:16:46.519,0x101,1,-112,-540,16120
22:16:46.519,0x201,1,140,-204,-3
22:16:46.542,0x101,0,-184,-532,16008
22:16:46.545,0x201,0,118,-230,-8
22:16:46.565,0x101,0,-172,-448,16072
22:16:46.566,0x201,1,97,-219,-12
22:16:46.588,0x101,0,-136,-504,16188
22:16:46.589,0x201,1,104,-236,-13
22:16:46.611,0x101,1,-164,-436,16120
22:16:46.612,0x201,0,131,-208,-23
22:16:46.636,0x101,1,-184,-520,16120
22:16:46.636,0x201,1,127,-261,-6
22:16:46.657,0x101,0,-116,-388,16248
22:16:46.663,0x201,1,109,-228,-5
22:16:46.680,0x101,1,-116,-400,16164
22:16:46.680,0x201,0,121,-207,-29
22:16:46.703,0x101,0,-156,-460,16232
22:16:46.704,0x201,0,113,-229,-32
22:16:46.725,0x101,1,-152,-516,16264
22:16:46.726,0x201,0,132,-242,-8
22:16:46.753,0x101,1,-176,-424,16012
22:16:46.756,0x201,0,98,-215,-20
22:16:46.772,0x101,0,-204,-332,15992
22:16:46.772,0x201,1,132,-218,-10
22:16:46.796,0x101,0,-192,-468,16152
22:16:46.796,0x201,1,125,-230,-9
22:16:46.820,0x101,1,-136,-516,16160
22:16:46.822,0x201,0,110,-234,-7
22:16:46.841,0x101,1,-236,-436,16212
22:16:46.841,0x201,0,108,-214,-4
22:16:46.864,0x101,0,-144,-464,16148
22:16:46.864,0x201,0,104,-221,0
22:16:46.887,0x101,1,-116,-440,16076
22:16:46.888,0x201,0,131,-179,-20
22:16:46.910,0x101,1,-212,-500,16180
22:16:46.913,0x201,1,132,-230,-4
22:16:46.933,0x101,1,-212,-400,16196
22:16:46.935,0x201,1,139,-211,-28
22:16:46.958,0x101,0,-212,-460,16104
22:16:46.960,0x201,1,125,-228,-13
22:16:46.979,0x101,0,-60,-412,16000
22:16:46.980,0x201,0,115,-226,-31
22:16:47.003,0x101,0,-192,-336,16020
22:16:47.004,0x201,1,118,-237,-31
22:16:47.025,0x101,1,-188,-392,16092
22:16:47.026,0x201,1,111,-237,-6
22:16:47.049,0x101,0,-136,-364,16136
22:16:47.050,0x201,1,134,-222,-37
22:16:47.070,0x101,0,-68,-492,16144
22:16:47.072,0x201,1,106,-187,9
22:16:47.094,0x101,0,-136,-444,16152
22:16:47.094,0x201,0,105,-207,-15
22:16:47.120,0x101,0,-164,-412,16136
22:16:47.124,0x201,0,107,-238,-8
22:16:47.140,0x101,1,-152,-496,16028
22:16:47.142,0x201,1,120,-246,-25
22:16:47.163,0x101,0,-232,-488,16092
22:16:47.163,0x201,1,126,-214,-17
22:16:47.186,0x101,1,-148,-388,16068
22:16:47.186,0x201,0,101,-227,-20
22:16:47.208,0x101,1,-92,-408,16108
22:16:47.210,0x201,0,115,-246,-13
22:16:47.232,0x101,1,-108,-420,15996
22:16:47.235,0x201,0,112,-216,-2
22:16:47.255,0x101,1,-180,-464,16128
22:16:47.260,0x201,1,123,-225,-2
22:16:47.278,0x101,1,-140,-496,16140
22:16:47.279,0x201,1,129,-185,-15
22:16:47.301,0x101,0,-212,-376,16140
22:16:47.302,0x201,0,136,-236,5
22:16:47.324,0x101,1,-268,-348,16172
22:16:47.325,0x201,0,98,-238,7
22:16:47.352,0x101,0,-160,-624,16092
22:16:47.354,0x201,0,126,-213,1
22:16:47.370,0x101,1,-176,-512,16020
22:16:47.370,0x201,0,98,-227,-18
22:16:47.393,0x101,1,-164,-420,16168
22:16:47.393,0x201,1,117,-249,9
22:16:47.416,0x101,1,-148,-360,16176
22:16:47.417,0x201,0,120,-223,-3
22:16:47.438,0x101,0,-176,-308,16276
22:16:47.439,0x201,0,134,-218,-12
22:16:47.468,0x101,0,-168,-508,16040
22:16:47.470,0x201,1,112,-224,-2
22:16:47.485,0x101,0,-140,-388,16132
22:16:47.486,0x201,1,121,-217,-10
22:16:47.508,0x101,1,-156,-384,16136
22:16:47.509,0x201,1,119,-213,-8
22:16:47.531,0x101,1,-184,-496,16112
22:16:47.531,0x201,0,121,-224,-2
22:16:47.553,0x101,0,-104,-444,16256
22:16:47.554,0x201,1,126,-202,7
22:16:47.577,0x101,1,-168,-432,16184
22:16:47.577,0x201,1,122,-195,-2
22:16:47.602,0x101,1,-164,-468,16228
22:16:47.605,0x201,0,124,-239,0
22:16:47.623,0x101,1,-112,-476,16164
22:16:47.624,0x201,1,106,-254,-19
22:16:47.646,0x101,1,-124,-484,16144
22:16:47.646,0x201,1,140,-229,-17
22:16:47.668,0x101,1,-76,-464,16140
22:16:47.669,0x201,0,115,-218,-9
22:16:47.693,0x101,1,-132,-396,15972
22:16:47.699,0x201,0,120,-232,-22
22:16:47.717,0x101,1,-112,-436,16176
22:16:47.717,0x201,0,116,-189,-6
22:16:47.738,0x101,0,-264,-408,16156
22:16:47.739,0x201,0,131,-225,0
22:16:47.760,0x101,0,-168,-348,16072
22:16:47.761,0x201,0,128,-217,9
22:16:47.784,0x101,1,-152,-456,16060
22:16:47.785,0x201,1,128,-212,16
22:16:47.808,0x101,0,-180,-520,16016
22:16:47.808,0x201,0,145,-242,-29
22:16:47.831,0x101,1,-136,-432,16104
22:16:47.833,0x201,0,130,-205,-21
22:16:47.853,0x101,0,-136,-412,16104
22:16:47.853,0x201,1,91,-228,14
22:16:47.876,0x101,1,-172,-368,16100
22:16:47.877,0x201,1,115,-240,-3
22:16:47.899,0x101,0,-176,-520,15948
22:16:47.899,0x201,0,101,-239,22
22:16:47.921,0x101,1,-188,-408,16228
22:16:47.924,0x201,1,130,-224,17
22:16:47.944,0x101,0,-164,-576,16164
22:16:47.946,0x201,0,129,-183,0
22:16:47.967,0x101,0,-232,-472,16160
22:16:47.968,0x201,0,121,-248,-21
22:16:47.990,0x101,0,-124,-344,16144
22:16:47.991,0x201,1,136,-197,-7
22:16:48.017,0x101,1,-180,-472,15884
22:16:48.018,0x201,1,129,-212,-4
22:16:48.037,0x101,0,-232,-392,16192
22:16:48.037,0x201,1,107,-250,13
22:16:48.061,0x101,0,-232,-388,16180
22:16:48.062,0x201,0,124,-198,-17
22:16:48.083,0x101,0,-156,-484,16268
22:16:48.083,0x201,1,139,-239,-28
22:16:48.105,0x101,0,-48,-460,15976
22:16:48.106,0x201,1,131,-223,-15
22:16:48.130,0x101,0,-52,-480,16112
22:16:48.133,0x201,1,121,-226,-4
22:16:48.152,0x101,1,-148,-364,16084
22:16:48.152,0x201,1,153,-177,-19
22:16:48.175,0x101,1,-160,-468,16044
22:16:48.176,0x201,0,161,-223,-13
22:16:48.197,0x101,1,-176,-432,16088
22:16:48.198,0x201,1,153,-193,-7
22:16:48.221,0x101,0,-108,-388,15992
22:16:48.224,0x201,1,157,-163,4
22:16:48.243,0x101,0,-224,-416,16036
22:16:48.245,0x201,0,161,-256,-11
22:16:48.267,0x101,0,-180,-368,16172
22:16:48.269,0x201,1,130,-220,-9
22:16:48.290,0x101,1,-168,-296,16064
22:16:48.290,0x201,0,136,-194,3
22:16:48.312,0x101,1,-204,-344,16268
22:16:48.313,0x201,1,129,-200,-19
22:16:48.336,0x101,0,-120,-516,16176
22:16:48.338,0x201,0,135,-249,-9
22:16:48.362,0x101,1,-172,-484,16220
22:16:48.363,0x201,1,168,-200,-6
22:16:48.382,0x101,0,-152,-392,16040
22:16:48.383,0x201,1,139,-246,-15
22:16:48.404,0x101,0,-184,-452,16220
22:16:48.405,0x201,1,127,-217,0
22:16:48.427,0x101,1,-240,-440,16048
22:16:48.428,0x201,1,147,-203,3
22:16:48.451,0x101,0,-164,-404,16220
22:16:48.454,0x201,0,114,-239,-31
22:16:48.479,0x101,1,-72,-380,16132
22:16:48.480,0x201,0,129,-217,-2
22:16:48.501,0x101,1,-172,-408,16132
22:16:48.502,0x201,1,119,-241,-22
22:16:48.525,0x101,1,-132,-340,16072
22:16:48.525,0x201,1,113,-217,-11
22:16:48.548,0x101,0,-32,-404,15952
22:16:48.549,0x201,1,101,-218,0
22:16:48.571,0x101,0,-156,-364,16020
22:16:48.572,0x201,1,115,-227,-10
22:16:48.594,0x101,1,-148,-384,16160
22:16:48.595,0x201,1,117,-226,-27
22:16:48.617,0x101,0,-252,-492,16136
22:16:48.618,0x201,1,113,-192,-16
22:16:48.639,0x101,0,-140,-432,16008
22:16:48.640,0x201,0,141,-200,-5
22:16:48.663,0x101,0,-160,-396,16144
22:16:48.663,0x201,0,139,-221,-1
22:16:48.686,0x101,0,-272,-336,16320
22:16:48.687,0x201,0,101,-213,6
22:16:48.710,0x101,1,-212,-400,16028
22:16:48.711,0x201,0,129,-220,13
22:16:48.732,0x101,0,-200,-356,16028
22:16:48.737,0x201,1,123,-238,-10
22:16:48.754,0x101,1,-244,-416,16196
22:16:48.755,0x201,1,139,-188,1
22:16:48.777,0x101,1,-240,-480,16224
22:16:48.780,0x201,0,136,-178,-8
22:16:48.801,0x101,1,-128,-424,16068
