Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
03:03:57.874,0x101,817,44,-432,16284
03:03:57.875,0x201,1536,126,-224,-4
03:03:57.897,0x101,817,92,-424,16392
03:03:57.897,0x201,1537,142,-211,8
03:03:57.920,0x101,817,40,-520,16272
03:03:57.921,0x201,1536,127,-204,6
03:03:57.943,0x101,816,-16,-548,16496
03:03:57.943,0x201,1536,110,-212,6
03:03:57.966,0x101,816,108,-432,16388
03:03:57.968,0x201,1537,114,-212,5
03:03:57.989,0x101,817,16,-432,16340
03:03:57.991,0x201,1536,143,-220,-12
03:03:58.012,0x101,816,84,-500,16288
03:03:58.013,0x201,1536,113,-211,-16
03:03:58.035,0x101,817,76,-548,16332
03:03:58.038,0x201,1537,146,-240,-7
03:03:58.059,0x101,817,48,-428,16368
03:03:58.061,0x201,1536,138,-219,-11
03:03:58.081,0x101,816,64,-428,16220
03:03:58.084,0x201,1537,128,-225,-7
03:03:58.105,0x101,817,32,-428,16384
03:03:58.107,0x201,1537,131,-240,-21
03:03:58.127,0x101,816,-40,-520,16124
03:03:58.130,0x201,1537,143,-216,-12
03:03:58.150,0x101,816,68,-420,16356
03:03:58.152,0x201,1537,131,-253,-28
03:03:58.173,0x101,817,-4,-412,16220
03:03:58.174,0x201,1536,127,-192,2
03:03:58.196,0x101,816,68,-432,16200
03:03:58.197,0x201,1536,127,-212,-18
03:03:58.219,0x101,817,108,-532,16372
03:03:58.220,0x201,1537,137,-215,-8
03:03:58.243,0x101,817,108,-476,16228
03:03:58.246,0x201,1536,147,-227,-13
03:03:58.265,0x101,816,176,-424,16308
03:03:58.265,0x201,1536,140,-223,-20
03:03:58.288,0x101,817,-52,-432,16336
03:03:58.291,0x201,1536,132,-259,-11
03:03:58.310,0x101,816,152,-552,16272
03:03:58.311,0x201,1537,129,-205,-11
03:03:58.334,0x101,817,64,-484,16196
03:03:58.335,0x201,1537,113,-249,-13
03:03:58.357,0x101,817,144,-488,16168
03:03:58.357,0x201,1537,141,-227,2
03:03:58.380,0x101,817,68,-520,16440
03:03:58.380,0x201,1536,122,-238,-2
03:03:58.403,0x101,816,40,-400,16308
03:03:58.403,0x201,1537,122,-197,-19
03:03:58.426,0x101,817,52,-432,16512
03:03:58.426,0x201,1537,123,-196,-14
03:03:58.449,0x101,816,128,-376,16388
03:03:58.453,0x201,1536,149,-207,-4
03:03:58.472,0x101,817,20,-384,16440
03:03:58.472,0x201,1537,119,-218,-28
03:03:58.495,0x101,817,52,-448,16124
03:03:58.496,0x201,1536,140,-241,-11
03:03:58.518,0x101,817,152,-416,16344
03:03:58.519,0x201,1536,138,-211,-4
03:03:58.541,0x101,817,24,-500,16416
03:03:58.542,0x201,1536,120,-224,-29
03:03:58.564,0x101,816,36,-452,16276
03:03:58.564,0x201,1536,119,-222,-7
03:03:58.587,0x101,817,-48,-448,16284
03:03:58.588,0x201,1537,132,-216,10
03:03:58.610,0x101,816,80,-508,16272
03:03:58.612,0x201,1536,127,-225,8
03:03:58.633,0x101,817,216,-408,16384
03:03:58.633,0x201,1536,139,-227,-28
03:03:58.659,0x101,817,92,-404,16228
03:03:58.660,0x201,1537,143,-216,-1
03:03:58.684,0x101,817,4,-476,16356
03:03:58.684,0x201,1537,129,-210,0
03:03:58.707,0x101,816,68,-444,16244
03:03:58.707,0x201,1536,143,-225,-17
03:03:58.730,0x101,816,88,-504,16492
03:03:58.732,0x201,1537,126,-206,-18
03:03:58.753,0x101,816,0,-444,16080
03:03:58.754,0x201,1536,117,-231,-21
03:03:58.776,0x101,817,32,-460,16436
03:03:58.778,0x201,1536,126,-242,-11
03:03:58.799,0x101,816,96,-416,16264
03:03:58.800,0x201,1537,145,-226,-17
03:03:58.822,0x101,816,64,-444,16240
03:03:58.823,0x201,1537,121,-210,-21
03:03:58.845,0x101,817,88,-528,16248
03:03:58.845,0x201,1537,140,-231,-16
03:03:58.868,0x101,817,200,-432,16280
03:03:58.869,0x201,1537,145,-214,-13
03:03:58.891,0x101,817,120,-444,16316
03:03:58.892,0x201,1537,116,-208,5
03:03:58.914,0x101,816,128,-424,16388
03:03:58.914,0x201,1537,149,-257,-27
03:03:58.937,0x101,817,308,-380,16016
03:03:58.938,0x201,1536,131,-240,-38
03:03:58.960,0x101,817,104,-424,16352
03:03:58.960,0x201,1537,130,-226,-26
03:03:58.983,0x101,816,-32,-376,16380
03:03:58.983,0x201,1537,147,-239,-19
03:03:59.006,0x101,816,88,-552,16364
03:03:59.007,0x201,1537,116,-234,4
03:03:59.030,0x101,817,48,-452,16280
03:03:59.031,0x201,1537,121,-220,-17
03:03:59.052,0x101,817,140,-480,16400
03:03:59.052,0x201,1536,144,-218,-1
03:03:59.075,0x101,817,72,-408,16276
03:03:59.076,0x201,1537,136,-190,-7
03:03:59.098,0x101,817,96,-524,16312
03:03:59.101,0x201,1537,149,-218,-22
03:03:59.121,0x101,785,68,-328,16236
03:03:59.122,0x201,1536,142,-200,-6
03:03:59.144,0x101,752,96,-404,16304
03:03:59.145,0x201,1536,141,-223,-2
03:03:59.167,0x101,721,120,-412,16268
03:03:59.167,0x201,1537,134,-227,-17
03:03:59.190,0x101,689,104,-344,16444
03:03:59.190,0x201,1537,139,-219,-18
03:03:59.213,0x101,657,-8,-556,16268
03:03:59.214,0x201,1536,125,-253,-4
03:03:59.236,0x101,624,124,-468,16292
03:03:59.236,0x201,1536,106,-256,-7
03:03:59.259,0x101,577,36,-376,16352
03:03:59.260,0x201,1536,141,-237,-45
03:03:59.282,0x101,544,-64,-504,16280
03:03:59.282,0x201,1536,124,-230,-9
03:03:59.306,0x101,481,128,-428,16340
03:03:59.310,0x201,1537,142,-220,-9
03:03:59.328,0x101,432,52,-484,16324
03:03:59.329,0x201,1537,112,-242,-11
03:03:59.351,0x101,384,192,-444,16372
03:03:59.352,0x201,1536,137,-228,-6
03:03:59.375,0x101,336,-16,-468,16188
03:03:59.375,0x201,1537,130,-209,14
03:03:59.398,0x101,304,84,-516,16192
03:03:59.399,0x201,1537,133,-227,-10
03:03:59.420,0x101,272,160,-404,16272
03:03:59.420,0x201,1536,135,-229,-7
03:03:59.443,0x101,240,120,-500,16376
03:03:59.444,0x201,1537,143,-216,7
03:03:59.466,0x101,209,92,-436,16240
03:03:59.466,0x201,1537,132,-228,-14
03:03:59.489,0x101,177,100,-444,16268
03:03:59.489,0x201,1537,124,-226,4
