Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
00:26:53.138,0x101,1809,-148,-392,16096
00:26:53.138,0x201,1536,150,-217,-19
00:26:53.161,0x101,1808,0,-412,16388
00:26:53.162,0x201,1536,124,-232,4
00:26:53.184,0x101,1808,-224,-408,16280
00:26:53.184,0x201,1537,118,-245,-24
00:26:53.207,0x101,1809,-104,-456,16164
00:26:53.208,0x201,1537,129,-231,-13
00:26:53.230,0x101,1808,-72,-436,16208
00:26:53.230,0x201,1537,133,-210,5
00:26:53.253,0x101,1809,-96,-416,16320
00:26:53.254,0x201,1536,123,-180,-22
00:26:53.276,0x101,1809,-200,-376,16232
00:26:53.277,0x201,1537,118,-228,-13
00:26:53.299,0x101,1808,-216,-440,16232
00:26:53.300,0x201,1537,108,-215,-1
00:26:53.322,0x101,1809,-180,-452,16092
00:26:53.323,0x201,1536,121,-226,-10
00:26:53.346,0x101,1808,-72,-456,16220
00:26:53.346,0x201,1536,119,-230,8
00:26:53.368,0x101,1809,-96,-424,16332
00:26:53.368,0x201,1537,137,-216,16
00:26:53.391,0x101,1809,-160,-392,16204
00:26:53.391,0x201,1536,137,-222,-3
00:26:53.414,0x101,1809,-172,-416,16272
00:26:53.415,0x201,1537,121,-222,-12
00:26:53.437,0x101,1809,-244,-372,16228
00:26:53.438,0x201,1536,133,-258,-12
00:26:53.461,0x101,1809,-64,-344,16232
00:26:53.462,0x201,1536,115,-238,5
00:26:53.486,0x101,1808,-168,-424,16140
00:26:53.491,0x201,1537,132,-215,-1
00:26:53.506,0x101,1809,-284,-404,16200
00:26:53.507,0x201,1537,145,-219,10
00:26:53.529,0x101,1808,-144,-356,16128
00:26:53.529,0x201,1537,134,-207,-15
00:26:53.552,0x101,1809,-112,-408,16232
00:26:53.554,0x201,1536,126,-220,-21
00:26:53.575,0x101,1808,-160,-360,16136
00:26:53.576,0x201,1536,122,-210,4
00:26:53.598,0x101,1809,-88,-464,16224
00:26:53.601,0x201,1537,142,-233,1
00:26:53.625,0x101,1809,-112,-432,16252
00:26:53.628,0x201,1537,114,-232,5
00:26:53.644,0x101,1809,-212,-428,16208
00:26:53.645,0x201,1536,128,-257,-11
00:26:53.667,0x101,1809,-152,-372,16240
00:26:53.668,0x201,1537,125,-250,-2
00:26:53.689,0x101,1809,-48,-352,16284
00:26:53.690,0x201,1536,102,-217,-30
00:26:53.713,0x101,1808,-132,-440,16168
00:26:53.714,0x201,1537,136,-215,-27
00:26:53.736,0x101,1808,-140,-488,16200
00:26:53.737,0x201,1537,119,-221,6
00:26:53.759,0x101,1808,-172,-428,16220
00:26:53.762,0x201,1537,121,-212,4
00:26:53.785,0x101,1809,-124,-468,16128
00:26:53.790,0x201,1536,123,-178,4
00:26:53.805,0x101,1808,-140,-400,16176
00:26:53.806,0x201,1536,121,-206,1
00:26:53.828,0x101,1809,-76,-432,16292
00:26:53.829,0x201,1537,132,-215,-13
00:26:53.851,0x101,1808,-84,-436,16080
