Timestamp,ID,Sensor1,Sensor2,Sensor3,Sensor4
01:12:23.514,0x101,1808,36,-348,16356
01:12:23.515,0x201,1537,146,-232,-12
01:12:23.535,0x101,1809,64,-528,16168
01:12:23.535,0x201,1536,122,-219,-6
01:12:23.558,0x101,1808,36,-384,16396
01:12:23.559,0x201,1537,129,-263,7
01:12:23.583,0x101,1808,-28,-460,16156
01:12:23.584,0x201,1536,139,-207,-14
01:12:23.604,0x101,1809,60,-280,16260
01:12:23.605,0x201,1537,158,-223,6
01:12:23.627,0x101,1809,36,-428,16272
01:12:23.628,0x201,1536,158,-229,-19
01:12:23.650,0x101,1809,4,-452,16248
01:12:23.650,0x201,1537,110,-236,-26
01:12:23.673,0x101,1808,44,-420,16320
01:12:23.673,0x201,1536,136,-242,-26
01:12:23.696,0x101,1809,184,-492,16200
01:12:23.697,0x201,1537,110,-235,-25
01:12:23.719,0x101,1808,92,-448,16416
01:12:23.720,0x201,1537,131,-222,-6
01:12:23.742,0x101,1809,28,-284,16336
01:12:23.742,0x201,1537,123,-221,11
01:12:23.765,0x101,1808,92,-352,16252
01:12:23.766,0x201,1536,129,-226,-29
01:12:23.788,0x101,1808,80,-320,16264
01:12:23.789,0x201,1536,118,-223,18
01:12:23.814,0x101,1809,24,-440,16220
01:12:23.820,0x201,1537,140,-228,-11
01:12:23.836,0x101,1809,16,-428,16300
01:12:23.837,0x201,1536,134,-227,-16
01:12:23.857,0x101,1809,96,-448,16168
01:12:23.857,0x201,1537,144,-228,5
01:12:23.880,0x101,1809,32,-380,16252
01:12:23.880,0x201,1536,130,-225,-20
01:12:23.903,0x101,1809,92,-408,16392
01:12:23.904,0x201,1537,126,-229,-18
01:12:23.926,0x101,1808,-16,-484,16312
01:12:23.927,0x201,1537,112,-227,-24
01:12:23.949,0x101,1808,52,-468,16204
01:12:23.949,0x201,1537,136,-233,-30
01:12:23.972,0x101,1808,48,-436,16260
01:12:23.975,0x201,1537,121,-246,1
01:12:23.995,0x101,1808,96,-464,16388
01:12:23.996,0x201,1536,107,-225,-17
01:12:24.019,0x101,1809,32,-532,16212
01:12:24.020,0x201,1537,147,-223,-14
01:12:24.042,0x101,1809,8,-508,16228
01:12:24.043,0x201,1537,121,-226,-40
01:12:24.066,0x101,1808,188,-380,16208
01:12:24.068,0x201,1536,137,-211,-12
01:12:24.087,0x101,1808,40,-384,16160
01:12:24.087,0x201,1537,104,-216,-11
01:12:24.110,0x101,1808,-24,-460,16288
