Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x101;149;352.7571;8;F0;0C;64;05;C0;FE;DC;40;0.1131
CAN 1;In;0x201;149;352.7579;8;F0;0C;A1;00;1A;FF;DD;FF;0.1132
CAN 1;In;0x101;150;352.8699;8;F0;0C;F4;04;E8;FE;F0;40;0.1128
CAN 1;In;0x201;150;352.8791;8;F0;0C;B2;00;2C;FF;EB;FF;0.1212
CAN 1;In;0x201;151;352.9837;8;F0;0C;BA;00;11;FF;F8;FF;0.1046
CAN 1;In;0x101;151;352.9839;8;F0;0C;70;05;88;FE;DC;40;0.1140
CAN 1;In;0x101;152;353.0818;8;F0;0C;D0;04;54;FE;E8;40;0.0980
CAN 1;In;0x201;152;353.0825;8;F0;0C;A9;00;00;FF;E7;FF;0.0988
CAN 1;In;0x101;153;353.1950;8;F1;0C;24;05;9C;FE;F4;40;0.1132
CAN 1;In;0x201;153;353.1958;8;F1;0C;96;00;0A;FF;F0;FF;0.1133
CAN 1;In;0x101;154;353.3080;8;F0;0C;04;05;40;FE;04;41;0.1130
CAN 1;In;0x201;154;353.3087;8;F0;0C;B2;00;14;FF;EE;FF;0.1129
CAN 1;In;0x101;155;353.4208;8;00;0D;68;05;4C;FE;E4;40;0.1129
CAN 1;In;0x201;155;353.4215;8;00;0D;A9;00;1A;FF;FA;FF;0.1129
CAN 1;In;0x101;156;353.5389;8;F0;0C;50;05;90;FE;7C;40;0.1181
CAN 1;In;0x201;156;353.5479;8;F0;0C;99;00;11;FF;EA;FF;0.1264
CAN 1;In;0x201;157;353.6535;8;F1;0C;99;00;16;FF;F1;FF;0.1055
CAN 1;In;0x101;157;353.6536;8;F1;0C;CC;04;DC;FE;44;41;0.1147
CAN 1;In;0x101;158;353.7510;8;F1;0C;FC;04;A0;FE;70;40;0.0974
CAN 1;In;0x201;158;353.7522;8;F1;0C;96;00;17;FF;EF;FF;0.0988
CAN 1;In;0x101;159;353.8649;8;F1;0C;18;05;78;FE;CC;40;0.1138
CAN 1;In;0x201;159;353.8656;8;F1;0C;A7;00;21;FF;F6;FF;0.1133
CAN 1;In;0x101;160;353.9777;8;F0;0C;F4;04;84;FE;10;41;0.1129
CAN 1;In;0x201;160;353.9784;8;F0;0C;AB;00;0D;FF;F4;FF;0.1129
CAN 1;In;0x101;161;354.0906;8;F1;0C;F8;04;64;FE;C4;40;0.1128
CAN 1;In;0x201;161;354.0913;8;F1;0C;A8;00;1C;FF;F6;FF;0.1129
CAN 1;In;0x101;162;354.2037;8;01;0D;0C;05;C0;FE;E0;40;0.1131
CAN 1;In;0x201;162;354.2043;8;01;0D;9E;00;1C;FF;F8;FF;0.1130
CAN 1;In;0x101;163;354.3166;8;F0;0C;20;05;9C;FE;9C;40;0.1129
CAN 1;In;0x201;163;354.3176;8;F0;0C;94;00;17;FF;F5;FF;0.1133
CAN 1;In;0x101;164;354.4296;8;F1;0C;0C;05;A4;FE;A8;40;0.1129
CAN 1;In;0x201;164;354.4303;8;F1;0C;96;00;1B;FF;EB;FF;0.1127
CAN 1;In;0x101;165;354.5425;8;F1;0C;4C;05;70;FE;C8;40;0.1129
CAN 1;In;0x201;165;354.5431;8;F1;0C;B2;00;1A;FF;DE;FF;0.1128
CAN 1;In;0x101;166;354.6555;8;F0;0C;98;05;F0;FE;CC;40;0.1130
CAN 1;In;0x201;166;354.6561;8;F0;0C;BC;00;15;FF;F2;FF;0.1130
CAN 1;In;0x101;167;354.7687;8;01;0D;58;05;AC;FE;14;41;0.1133
CAN 1;In;0x201;167;354.7692;8;01;0D;8D;00;0A;FF;EA;FF;0.1130
CAN 1;In;0x101;168;354.8816;8;F1;0C;F4;04;C0;FE;74;40;0.1129
CAN 1;In;0x201;168;354.8823;8;F1;0C;9B;00;0E;FF;F4;FF;0.1132
CAN 1;In;0x101;169;354.9947;8;F1;0C;2C;05;70;FE;74;40;0.1131
CAN 1;In;0x201;169;354.9955;8;F1;0C;B2;00;1A;FF;00;00;0.1131
CAN 1;In;0x101;170;355.1076;8;01;0D;10;05;C8;FE;B4;40;0.1129
CAN 1;In;0x201;170;355.1081;8;01;0D;A3;00;04;FF;FB;FF;0.1126
CAN 1;In;0x101;171;355.2205;8;F0;0C;68;05;AC;FE;C4;40;0.1130
CAN 1;In;0x201;171;355.2212;8;F0;0C;8D;00;16;FF;E9;FF;0.1131
CAN 1;In;0x101;172;355.3334;8;00;0D;D8;04;88;FE;94;40;0.1129
CAN 1;In;0x201;172;355.3341;8;00;0D;B0;00;1D;FF;E8;FF;0.1129
CAN 1;In;0x201;173;355.4579;8;01;0D;AA;00;07;FF;EC;FF;0.1238
CAN 1;In;0x101;173;355.4741;8;01;0D;78;05;AC;FE;90;40;0.1407
CAN 1;In;0x101;174;355.5584;8;F0;0C;24;05;3C;FE;1C;41;0.0844
CAN 1;In;0x201;174;355.5844;8;F0;0C;90;00;0C;FF;F2;FF;0.1265
CAN 1;In;0x201;175;355.6682;8;00;0D;9E;00;1E;FF;E5;FF;0.0837
CAN 1;In;0x101;175;355.6796;8;00;0D;4C;05;D8;FE;C0;40;0.1212
CAN 1;In;0x201;176;355.7856;8;00;0D;BF;00;15;FF;05;00;0.1174
CAN 1;In;0x101;176;355.7856;8;00;0D;AC;04;6C;FE;04;41;0.1060
CAN 1;In;0x101;177;355.8772;8;01;0D;28;05;38;FF;14;41;0.0916
CAN 1;In;0x201;177;355.8780;8;01;0D;9E;00;1A;FF;DC;FF;0.0924
CAN 1;In;0x101;178;355.9904;8;F1;0C;74;05;90;FE;B4;40;0.1132
CAN 1;In;0x201;178;355.9912;8;F1;0C;A2;00;16;FF;F6;FF;0.1131
CAN 1;In;0x101;179;356.1032;8;F0;0C;24;05;DC;FE;CC;40;0.1128
CAN 1;In;0x201;179;356.1042;8;F0;0C;A9;00;1E;FF;F3;FF;0.1131
CAN 1;In;0x101;180;356.2163;8;F0;0C;24;05;A0;FE;78;41;0.1130
CAN 1;In;0x201;180;356.2170;8;F0;0C;A4;00;17;FF;F7;FF;0.1128
CAN 1;In;0x101;181;356.3292;8;F1;0C;14;05;C4;FE;48;41;0.1129
CAN 1;In;0x201;181;356.3300;8;F1;0C;A3;00;28;FF;EF;FF;0.1130
CAN 1;In;0x101;182;356.4423;8;01;0D;28;05;60;FE;80;41;0.1130
CAN 1;In;0x201;182;356.4430;8;01;0D;AD;00;09;FF;F9;FF;0.1130
CAN 1;In;0x101;183;356.5552;8;F0;0C;24;05;8C;FE;98;40;0.1129
CAN 1;In;0x201;183;356.5559;8;F0;0C;8D;00;07;FF;EF;FF;0.1129
CAN 1;In;0x101;184;356.6681;8;F1;0C;AC;04;9C;FE;48;41;0.1129
CAN 1;In;0x201;184;356.6688;8;F1;0C;A2;00;12;FF;F8;FF;0.1129
CAN 1;In;0x101;185;356.7812;8;F1;0C;30;05;14;FF;04;41;0.1131
CAN 1;In;0x201;185;356.7820;8;F1;0C;9B;00;0F;FF;E7;FF;0.1132
CAN 1;In;0x101;186;356.8940;8;F0;0C;EC;04;FC;FE;C4;40;0.1128
CAN 1;In;0x201;186;356.8947;8;F0;0C;A6;00;20;FF;F3;FF;0.1128
CAN 1;In;0x101;187;357.0074;8;F1;0C;40;05;58;FE;0C;41;0.1134
CAN 1;In;0x201;187;357.0334;8;F1;0C;9E;00;1B;FF;F3;FF;0.1387
CAN 1;In;0x201;188;357.1167;8;F1;0C;A3;00;0A;FF;E7;FF;0.0833
CAN 1;In;0x101;188;357.1325;8;F1;0C;A0;04;7C;FE;44;41;0.1251
CAN 1;In;0x101;189;357.2191;8;F1;0C;3C;05;A4;FE;B0;40;0.0866
CAN 1;In;0x201;189;357.2201;8;F1;0C;AD;00;23;FF;E7;FF;0.1034
CAN 1;In;0x101;190;357.3320;8;F1;0C;24;05;0C;FF;04;41;0.1129
CAN 1;In;0x201;190;357.3326;8;F1;0C;9A;00;11;FF;FB;FF;0.1125
CAN 1;In;0x101;191;357.4449;8;00;0D;1C;05;A4;FE;94;40;0.1129
CAN 1;In;0x201;191;357.4457;8;00;0D;9F;00;04;FF;F6;FF;0.1131
CAN 1;In;0x201;192;357.5714;8;F1;0C;9D;00;15;FF;E1;FF;0.1257
CAN 1;In;0x101;192;357.5871;8;F1;0C;30;05;80;FE;B4;40;0.1421
CAN 1;In;0x101;193;357.6700;8;F1;0C;CC;04;A8;FE;FC;40;0.0830
CAN 1;In;0x201;193;357.6710;8;F1;0C;A1;00;0F;FF;F3;FF;0.0995
CAN 1;In;0x101;194;357.7829;8;F1;0C;54;05;48;FE;7C;41;0.1129
CAN 1;In;0x201;194;357.7839;8;F1;0C;AC;00;13;FF;F4;FF;0.1129
CAN 1;In;0x101;195;357.8958;8;00;0D;9C;04;AC;FE;20;41;0.1129
CAN 1;In;0x201;195;357.8969;8;00;0D;A6;00;13;FF;F3;FF;0.1130
CAN 1;In;0x101;196;358.0090;8;F1;0C;D0;04;84;FE;A8;40;0.1132
CAN 1;In;0x201;196;358.0094;8;F1;0C;A6;00;0D;FF;F9;FF;0.1125
CAN 1;In;0x101;197;358.1217;8;F0;0C;44;05;8C;FE;AC;41;0.1128
CAN 1;In;0x201;197;358.1224;8;F0;0C;AC;00;0D;FF;FD;FF;0.1130
CAN 1;In;0x101;198;358.2348;8;F0;0C;34;05;20;FF;CC;40;0.1131
CAN 1;In;0x201;198;358.2355;8;F0;0C;A3;00;0F;FF;F0;FF;0.1131
CAN 1;In;0x101;199;358.3479;8;00;0D;50;05;C0;FE;08;41;0.1131
CAN 1;In;0x201;199;358.3487;8;00;0D;A3;00;0C;FF;F0;FF;0.1131
CAN 1;In;0x101;200;358.4607;8;F1;0C;B8;04;98;FE;D8;40;0.1128
CAN 1;In;0x201;200;358.4613;8;F1;0C;A8;00;20;FF;FA;FF;0.1126
CAN 1;In;0x101;201;358.5738;8;F0;0C;18;05;94;FE;E8;40;0.1131
CAN 1;In;0x201;201;358.5746;8;F0;0C;9F;00;05;FF;F0;FF;0.1134
CAN 1;In;0x101;202;358.6866;8;00;0D;B8;04;F4;FE;E8;40;0.1128
CAN 1;In;0x201;202;358.6874;8;00;0D;A5;00;0C;FF;F2;FF;0.1128
CAN 1;In;0x101;203;358.7998;8;F0;0C;44;05;9C;FE;00;41;0.1132
CAN 1;In;0x201;203;358.8005;8;F0;0C;A1;00;23;FF;E6;FF;0.1131
CAN 1;In;0x101;204;358.9125;8;F1;0C;60;05;FC;FE;F4;40;0.1127
CAN 1;In;0x201;204;358.9133;8;F1;0C;A9;00;17;FF;D7;FF;0.1128
CAN 1;In;0x101;205;359.0256;8;F1;0C;84;05;90;FE;9C;40;0.1131
CAN 1;In;0x201;205;359.0262;8;F1;0C;A3;00;19;FF;E9;FF;0.1129
CAN 1;In;0x101;206;359.1385;8;F0;0C;5C;05;AC;FE;F4;40;0.1130
CAN 1;In;0x201;206;359.1394;8;F0;0C;AB;00;10;FF;EF;FF;0.1131
CAN 1;In;0x101;207;359.2516;8;F1;0C;3C;05;8C;FE;F8;40;0.1130
CAN 1;In;0x201;207;359.2524;8;F1;0C;AF;00;13;FF;EE;FF;0.1130
CAN 1;In;0x101;208;359.3657;8;F1;0C;00;05;A0;FE;B0;40;0.1141
CAN 1;In;0x201;208;359.3817;8;F1;0C;9B;00;15;FF;EB;FF;0.1293
CAN 1;In;0x201;209;359.4777;8;F0;0C;A1;00;24;FF;E8;FF;0.0960
CAN 1;In;0x101;209;359.4936;8;F0;0C;90;04;FC;FE;70;40;0.1279
CAN 1;In;0x201;210;359.5893;8;F1;0C;A2;00;19;FF;02;00;0.1116
CAN 1;In;0x101;210;359.6047;8;F1;0C;4C;05;AC;FE;B0;40;0.1112
CAN 1;In;0x101;211;359.6897;8;F0;0C;28;05;68;FE;8C;40;0.0850
CAN 1;In;0x201;211;359.7008;8;F0;0C;A0;00;09;FF;FC;FF;0.1115
CAN 1;In;0x201;212;359.8102;8;F1;0C;AE;00;1C;FF;DE;FF;0.1094
CAN 1;In;0x101;212;359.8103;8;F1;0C;BC;04;B0;FE;18;41;0.1205
CAN 1;In;0x101;213;359.9014;8;00;0D;08;05;A4;FE;C8;40;0.0911
CAN 1;In;0x201;213;359.9022;8;00;0D;AB;00;1E;FF;FA;FF;0.0919
CAN 1;In;0x101;214;360.0146;8;F1;0C;58;05;EC;FE;1C;41;0.1132
CAN 1;In;0x201;214;360.0153;8;F1;0C;A8;00;12;FF;F3;FF;0.1131
CAN 1;In;0x101;215;360.1274;8;F1;0C;F4;04;A4;FE;FC;40;0.1128
CAN 1;In;0x201;215;360.1281;8;F1;0C;A7;00;14;FF;F2;FF;0.1129
CAN 1;In;0x101;216;360.2405;8;F0;0C;4C;05;AC;FE;E0;40;0.1131
CAN 1;In;0x201;216;360.2412;8;F0;0C;AA;00;13;FF;E5;FF;0.1131
CAN 1;In;0x101;217;360.3533;8;F0;0C;04;05;94;FE;D4;40;0.1127
CAN 1;In;0x201;217;360.3541;8;F0;0C;AE;00;1D;FF;F9;FF;0.1128
CAN 1;In;0x101;218;360.4662;8;F1;0C;D4;04;E0;FE;38;41;0.1130
CAN 1;In;0x201;218;360.4670;8;F1;0C;A1;00;28;FF;F5;FF;0.1129
CAN 1;In;0x101;219;360.5792;8;F0;0C;08;05;5C;FE;20;41;0.1129
CAN 1;In;0x201;219;360.5800;8;F0;0C;98;00;11;FF;E1;FF;0.1131
CAN 1;In;0x101;220;360.6922;8;F0;0C;F0;04;94;FE;04;41;0.1130
CAN 1;In;0x201;220;360.6931;8;F0;0C;AA;00;0E;FF;FE;FF;0.1131
CAN 1;In;0x101;221;360.8051;8;F1;0C;04;05;9C;FE;80;41;0.1129
CAN 1;In;0x201;221;360.8060;8;F1;0C;94;00;25;FF;E3;FF;0.1129
CAN 1;In;0x101;222;360.9181;8;F0;0C;84;05;94;FE;00;41;0.1130
CAN 1;In;0x201;222;360.9187;8;F0;0C;A2;00;1A;FF;E6;FF;0.1127
CAN 1;In;0x101;223;361.0312;8;F1;0C;E8;04;94;FE;9C;40;0.1131
CAN 1;In;0x201;223;361.0320;8;F1;0C;9C;00;09;FF;FC;FF;0.1133
CAN 1;In;0x101;224;361.1442;8;F0;0C;24;05;74;FE;40;41;0.1130
CAN 1;In;0x201;224;361.1449;8;F0;0C;AE;00;13;FF;E7;FF;0.1129
CAN 1;In;0x101;225;361.2573;8;F1;0C;54;05;C0;FE;E0;40;0.1131
CAN 1;In;0x201;225;361.2581;8;F1;0C;A6;00;10;FF;F3;FF;0.1132
CAN 1;In;0x101;226;361.3702;8;F0;0C;70;05;70;FE;FC;40;0.1129
CAN 1;In;0x201;226;361.3711;8;F0;0C;A7;00;2A;FF;F4;FF;0.1129
CAN 1;In;0x201;227;361.5098;8;F0;0C;AC;00;18;FF;E8;FF;0.1388
CAN 1;In;0x101;227;361.5098;8;F0;0C;F0;04;E0;FE;4C;41;0.1396
CAN 1;In;0x201;228;361.6201;8;F1;0C;A9;00;1D;FF;F2;FF;0.1103
CAN 1;In;0x101;228;361.6202;8;F1;0C;B8;05;8C;FE;38;41;0.1104
CAN 1;In;0x201;229;361.7108;8;F1;0C;AF;00;1E;FF;F0;FF;0.0906
CAN 1;In;0x101;229;361.7266;8;F1;0C;2C;05;80;FE;38;40;0.1064
CAN 1;In;0x201;230;361.8280;8;F1;0C;9A;00;23;FF;FA;FF;0.1173
CAN 1;In;0x101;230;361.8281;8;F1;0C;54;05;8C;FE;E8;40;0.1015
CAN 1;In;0x101;231;361.9160;8;F1;0C;30;05;5C;FE;FC;40;0.0879
CAN 1;In;0x201;231;361.9258;8;F1;0C;AC;00;21;FF;EB;FF;0.0978
CAN 1;In;0x201;232;362.0357;8;00;0D;A6;00;0C;FF;E6;FF;0.1099
CAN 1;In;0x101;232;362.0357;8;00;0D;58;05;54;FE;9C;40;0.1197
CAN 1;In;0x201;233;362.1539;8;F0;0C;9F;00;15;FF;E1;FF;0.1182
CAN 1;In;0x101;233;362.1540;8;F0;0C;40;05;8C;FE;C0;40;0.1183
CAN 1;In;0x101;234;362.2349;8;F1;0C;3C;05;5C;FE;44;41;0.0809
CAN 1;In;0x201;234;362.2611;8;F1;0C;A1;00;0F;FF;E6;FF;0.1072
CAN 1;In;0x201;235;362.3598;8;F1;0C;AD;00;06;FF;05;00;0.0987
CAN 1;In;0x101;235;362.3598;8;F1;0C;38;05;68;FE;50;41;0.1249
CAN 1;In;0x101;236;362.4470;8;00;0D;50;05;9C;FE;E0;40;0.0872
CAN 1;In;0x201;236;362.4477;8;00;0D;AF;00;1F;FF;EF;FF;0.0879
CAN 1;In;0x101;237;362.5597;8;F0;0C;2C;05;D8;FE;98;40;0.1127
CAN 1;In;0x201;237;362.5608;8;F0;0C;A1;00;22;FF;E3;FF;0.1131
CAN 1;In;0x101;238;362.6728;8;F0;0C;18;05;74;FE;88;40;0.1131
CAN 1;In;0x201;238;362.6735;8;F0;0C;AA;00;02;FF;F5;FF;0.1127
CAN 1;In;0x101;239;362.7859;8;F1;0C;64;05;CC;FE;B8;40;0.1130
CAN 1;In;0x201;239;362.7863;8;F1;0C;BE;00;18;FF;E6;FF;0.1128
CAN 1;In;0x101;240;362.8987;8;00;0D;F8;04;E8;FE;C0;40;0.1129
CAN 1;In;0x201;240;362.8997;8;00;0D;8A;00;0D;FF;E3;FF;0.1134
CAN 1;In;0x101;241;363.0117;8;01;0D;74;05;AC;FE;5C;40;0.1130
CAN 1;In;0x201;241;363.0129;8;01;0D;B8;00;15;FF;E6;FF;0.1132
CAN 1;In;0x101;242;363.1253;8;F1;0C;7C;05;AC;FE;1C;41;0.1136
CAN 1;In;0x201;242;363.1262;8;F1;0C;93;00;23;FF;06;00;0.1133
CAN 1;In;0x101;243;363.2386;8;F1;0C;F4;04;BC;FE;C0;40;0.1133
CAN 1;In;0x201;243;363.2393;8;F1;0C;B4;00;26;FF;E3;FF;0.1131
CAN 1;In;0x101;244;363.3517;8;01;0D;3C;05;50;FE;E0;40;0.1131
CAN 1;In;0x201;244;363.3524;8;01;0D;8F;00;13;FF;EE;FF;0.1131
CAN 1;In;0x101;245;363.4646;8;00;0D;E4;04;18;FF;F0;40;0.1129
CAN 1;In;0x201;245;363.4653;8;00;0D;A6;00;1A;FF;F5;FF;0.1129
CAN 1;In;0x101;246;363.5777;8;F1;0C;1C;05;CC;FE;14;41;0.1131
CAN 1;In;0x201;246;363.5785;8;F1;0C;A3;00;18;FF;F3;FF;0.1132
CAN 1;In;0x201;247;363.7171;8;F0;0C;B6;00;1B;FF;E7;FF;0.1387
CAN 1;In;0x101;247;363.7173;8;F0;0C;74;05;8C;FE;48;40;0.1396
CAN 1;In;0x201;248;363.8258;8;F1;0C;C5;00;33;FF;E4;FF;0.1086
CAN 1;In;0x101;248;363.8259;8;F1;0C;58;05;B8;FE;1C;41;0.1087
CAN 1;In;0x101;249;363.9095;8;F0;0C;98;04;58;FE;DC;40;0.0836
CAN 1;In;0x201;249;363.9103;8;F0;0C;98;00;1E;FF;E9;FF;0.0845
CAN 1;In;0x101;250;364.0227;8;F0;0C;38;05;18;FF;04;41;0.1132
CAN 1;In;0x201;250;364.0230;8;F0;0C;AD;00;14;FF;E7;FF;0.1127
CAN 1;In;0x101;251;364.1358;8;F0;0C;54;05;74;FE;10;41;0.1131
CAN 1;In;0x201;251;364.1362;8;F0;0C;B3;00;1A;FF;F7;FF;0.1132
CAN 1;In;0x101;252;364.2485;8;00;0D;04;05;80;FE;30;41;0.1128
CAN 1;In;0x201;252;364.2493;8;00;0D;AD;00;07;FF;DA;FF;0.1131
CAN 1;In;0x101;253;364.3616;8;00;0D;A0;05;64;FE;A8;40;0.1131
CAN 1;In;0x201;253;364.3622;8;00;0D;97;00;17;FF;FF;FF;0.1130
CAN 1;In;0x101;254;364.4746;8;F0;0C;48;05;B4;FE;DC;40;0.1130
CAN 1;In;0x201;254;364.4753;8;F0;0C;9E;00;18;FF;F0;FF;0.1131
CAN 1;In;0x101;255;364.5876;8;F1;0C;44;05;C4;FE;A4;40;0.1130
CAN 1;In;0x201;255;364.5883;8;F1;0C;A9;00;21;FF;ED;FF;0.1130
CAN 1;In;0x101;256;364.7004;8;F0;0C;3C;05;B8;FE;30;41;0.1128
CAN 1;In;0x201;256;364.7014;8;F0;0C;AF;00;17;FF;E6;FF;0.1131
CAN 1;In;0x101;257;364.8133;8;F0;0C;14;05;AC;FE;A8;40;0.1129
CAN 1;In;0x201;257;364.8141;8;F0;0C;97;00;11;FF;F9;FF;0.1127
CAN 1;In;0x101;258;364.9264;8;F0;0C;D0;04;8C;FE;14;41;0.1131
CAN 1;In;0x201;258;364.9272;8;F0;0C;A7;00;06;FF;E3;FF;0.1131
CAN 1;In;0x101;259;365.0396;8;F0;0C;18;05;B8;FE;B0;40;0.1132
CAN 1;In;0x201;259;365.0403;8;F0;0C;AB;00;09;FF;ED;FF;0.1131
CAN 1;In;0x101;260;365.1525;8;00;0D;34;05;B0;FE;58;40;0.1130
CAN 1;In;0x201;260;365.1533;8;00;0D;A5;00;14;FF;E9;FF;0.1130
CAN 1;In;0x201;261;365.2905;8;F1;0C;B3;00;05;FF;F5;FF;0.1372
CAN 1;In;0x101;261;365.2907;8;F1;0C;60;05;90;FE;20;41;0.1382
CAN 1;In;0x101;262;365.3722;8;F1;0C;E8;04;FC;FE;00;41;0.0815
CAN 1;In;0x201;262;365.3967;8;F1;0C;AF;00;15;FF;EE;FF;0.1062
CAN 1;In;0x101;263;365.4772;8;F1;0C;48;05;F0;FE;C4;40;0.1050
CAN 1;In;0x201;263;365.5045;8;F1;0C;B0;00;05;FF;F9;FF;0.1078
CAN 1;In;0x201;264;365.5924;8;00;0D;9F;00;06;FF;F3;FF;0.0879
CAN 1;In;0x101;264;365.6042;8;00;0D;C0;04;74;FE;C0;40;0.1269
CAN 1;In;0x201;265;365.6989;8;F0;0C;99;00;13;FF;E7;FF;0.1065
CAN 1;In;0x101;265;365.6989;8;F0;0C;00;05;B0;FE;F4;40;0.0947
CAN 1;In;0x101;266;365.8013;8;F0;0C;F4;04;CC;FE;20;41;0.1024
CAN 1;In;0x201;266;365.8021;8;F0;0C;9F;00;24;FF;F2;FF;0.1033
CAN 1;In;0x101;267;365.9139;8;F0;0C;1C;05;48;FE;FC;40;0.1126
CAN 1;In;0x201;267;365.9147;8;F0;0C;AD;00;1A;FF;E1;FF;0.1126
CAN 1;In;0x101;268;366.0272;8;00;0D;60;05;BC;FE;08;41;0.1132
CAN 1;In;0x201;268;366.0279;8;00;0D;A7;00;13;FF;F1;FF;0.1132
CAN 1;In;0x101;269;366.1401;8;00;0D;BC;04;94;FE;AC;40;0.1130
CAN 1;In;0x201;269;366.1409;8;00;0D;A1;00;0A;FF;E8;FF;0.1130
CAN 1;In;0x101;270;366.2530;8;F0;0C;A4;05;AC;FE;10;41;0.1129
CAN 1;In;0x201;270;366.2537;8;F0;0C;A3;00;0D;FF;EB;FF;0.1129
CAN 1;In;0x101;271;366.3659;8;00;0D;24;05;74;FE;CC;40;0.1128
CAN 1;In;0x201;271;366.3667;8;00;0D;A1;00;1C;FF;EF;FF;0.1129
CAN 1;In;0x101;272;366.4790;8;F0;0C;1C;05;28;FF;14;41;0.1132
CAN 1;In;0x201;272;366.4798;8;F0;0C;A8;00;26;FF;F4;FF;0.1132
CAN 1;In;0x101;273;366.5920;8;F1;0C;00;05;5C;FE;A8;40;0.1130
CAN 1;In;0x201;273;366.5928;8;F1;0C;AE;00;16;FF;F1;FF;0.1130
CAN 1;In;0x101;274;366.7052;8;F1;0C;AC;05;94;FE;F0;40;0.1131
CAN 1;In;0x201;274;366.7060;8;F1;0C;A4;00;1E;FF;02;00;0.1131
CAN 1;In;0x101;275;366.8182;8;F0;0C;FC;04;C0;FE;D0;41;0.1130
CAN 1;In;0x201;275;366.8189;8;F0;0C;A8;00;0E;FF;09;00;0.1129
CAN 1;In;0x101;276;366.9308;8;F1;0C;04;05;08;FF;34;41;0.1127
CAN 1;In;0x201;276;366.9317;8;F1;0C;AD;00;1F;FF;ED;FF;0.1128
CAN 1;In;0x201;277;367.0692;8;F1;0C;AD;00;0E;FF;ED;FF;0.1375
CAN 1;In;0x101;277;367.0693;8;F1;0C;30;05;98;FE;E8;40;0.1385
CAN 1;In;0x201;278;367.1757;8;F1;0C;A7;00;11;FF;ED;FF;0.1066
CAN 1;In;0x101;278;367.1758;8;F1;0C;38;05;D8;FE;D4;40;0.1064
CAN 1;In;0x201;279;367.2643;8;F0;0C;AA;00;15;FF;FB;FF;0.0886
CAN 1;In;0x101;279;367.2802;8;F0;0C;F0;04;98;FE;1C;41;0.1044
CAN 1;In;0x201;280;367.3910;8;F0;0C;A3;00;11;FF;EE;FF;0.1267
CAN 1;In;0x101;280;367.3912;8;F0;0C;F0;04;8C;FE;C0;40;0.1111
CAN 1;In;0x101;281;367.4716;8;F1;0C;5C;05;88;FE;38;41;0.0804
CAN 1;In;0x201;281;367.4986;8;F1;0C;A2;00;15;FF;00;00;0.1076
CAN 1;In;0x201;282;367.6001;8;F1;0C;A3;00;1D;FF;FC;FF;0.1015
CAN 1;In;0x101;282;367.6003;8;F1;0C;1C;05;74;FE;44;40;0.1287
CAN 1;In;0x101;283;367.6838;8;F0;0C;E4;04;80;FE;84;40;0.0835
CAN 1;In;0x201;283;367.6845;8;F0;0C;9F;00;22;FF;F8;FF;0.0844
CAN 1;In;0x101;284;367.8019;8;F1;0C;E8;04;B8;FE;E4;40;0.1181
CAN 1;In;0x201;284;367.8116;8;F1;0C;B0;00;17;FF;03;00;0.1270
CAN 1;In;0x201;285;367.9210;8;01;0D;B0;00;0D;FF;E6;FF;0.1094
CAN 1;In;0x101;285;367.9214;8;01;0D;2C;05;74;FE;88;40;0.1194
CAN 1;In;0x201;286;368.0221;8;F1;0C;A4;00;19;FF;EA;FF;0.1011
CAN 1;In;0x101;286;368.0378;8;F1;0C;EC;04;50;FE;E8;40;0.1164
CAN 1;In;0x101;287;368.1205;8;F0;0C;D4;04;7C;FE;30;41;0.0828
CAN 1;In;0x201;287;368.1215;8;F0;0C;A0;00;25;FF;FD;FF;0.0993
CAN 1;In;0x101;288;368.2336;8;01;0D;F8;04;68;FE;00;41;0.1131
CAN 1;In;0x201;288;368.2344;8;01;0D;9F;00;0B;FF;F3;FF;0.1129
CAN 1;In;0x101;289;368.3465;8;F1;0C;DC;04;98;FE;BC;40;0.1129
CAN 1;In;0x201;289;368.3473;8;F1;0C;A1;00;1D;FF;E6;FF;0.1129
CAN 1;In;0x101;290;368.4594;8;F0;0C;F8;04;A0;FE;0C;41;0.1129
CAN 1;In;0x201;290;368.4604;8;F0;0C;AD;00;18;FF;ED;FF;0.1131
CAN 1;In;0x101;291;368.5724;8;00;0D;48;05;A4;FE;B8;40;0.1130
CAN 1;In;0x201;291;368.5735;8;00;0D;9B;00;16;FF;F5;FF;0.1131
CAN 1;In;0x101;292;368.6856;8;F1;0C;F4;04;A4;FE;B4;40;0.1132
CAN 1;In;0x201;292;368.6861;8;F1;0C;A8;00;17;FF;EE;FF;0.1126
CAN 1;In;0x101;293;368.7984;8;00;0D;00;05;74;FE;FC;40;0.1128
CAN 1;In;0x201;293;368.7992;8;00;0D;95;00;F9;FE;F5;FF;0.1132
CAN 1;In;0x101;294;368.9114;8;00;0D;50;05;54;FE;E8;40;0.1130
CAN 1;In;0x201;294;368.9121;8;00;0D;A0;00;0E;FF;E4;FF;0.1129
CAN 1;In;0x101;295;369.0247;8;01;0D;0C;05;E4;FE;54;41;0.1133
CAN 1;In;0x201;295;369.0255;8;01;0D;9B;00;0B;FF;F0;FF;0.1133
CAN 1;In;0x101;296;369.1375;8;F1;0C;C0;04;8C;FE;D0;40;0.1128
